
N-GRAM ANALYSIS REPORT
=======================
Dataset Folder: c:\Users\Mitansh Kanani\Desktop\college\sem 7\NLP\NLP_LAB_GYANGUJ\data\next
Analysis Date: 2025-10-01 14:33:26

==================== UNIGRAM ANALYSIS ====================
Total words (tokens): 507730
Unique words (vocabulary): 60191

--- Top 50 Most Common Words ---

Rank  Word                 Count      Probability (%)
31    કાર્બનિક રસાયણવિજ્ઞાન કેટલાક             42         0.0083%
32    રસાયણવિજ્ઞાન કેટલાક પાયાના               42         0.0083%
33    પાયાના સિદ્ધાંતો પદ્ધતિઓ                 42         0.0083%
34    ઉદાહરણ સાબિત કરો                         42         0.0083%
35    રાસાયણિક બંધન આણ્વીય                     41         0.0081%
36    કરવામાં આવે છે,                          41         0.0081%
37    પસાર કરવામાં આવે                         40         0.0079%
38    બંધન આણ્વીય રચના                         40         0.0079%
39    ઉદાહરણ તરીકે લઈએ                         39         0.0077%
40    આકૃતિ દર્શાવ્યા મુજબ                     38         0.0075%
41    આવર્તમાં ડાબીથી જમણી                     38         0.0075%
42    ઇલેક્ટ્રોન પ્રાપ્તિ એન્થાલ્પી            38         0.0075%
43    નક્કી કરી શકાય                           36         0.0071%
44    સમૂહમાં ઉપરથી નીચે                       36         0.0071%
45    દૂર કરવામાં આવે                          35         0.0069%
46    પ્રમાણે રજૂ કરી                          35         0.0069%
47    યાદચ્છિક રીતે પસંદ                       35         0.0069%
48    ડાબીથી જમણી તરફ                          34         0.0067%
49    આકૃતિ દર્શાવ્યા પ્રમાણે                  33         0.0065%
50    ગરમ કરવામાં આવે                          33         0.0065%
    
